Yaw,Speed,rpm,Pedal,RTmean_x,RTstd_x,ERmean,ERstd,AEstd,OEstd,EEstd,totalSteps,wellnessTotalKilocalories,wellnessActiveKilocalories,Yaw_Std,Speed_Std,rpm_Std,Steering_Std,Pedal_Std,a_Std,deepSleepSeconds_std,lightSleepSeconds_std,remSleepSeconds_std,awakeSleepSeconds_std,TotalSleepTime_std
1.83063888,33.87278237,1251.275567,9.925733333,0.330893,0.076603,1.0,0.0,0.328142,0.162425,0.164603,34200.0,5532.0,336.0,0.358949722,3.567167023,126.0774944,0.613578396,11.11547993,0.823340224,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.33755854,33.7928851,1401.5048,28.0091,0.330893,0.076603,1.0,0.0,0.328142,0.162425,0.164603,34200.0,5532.0,336.0,0.291687092,4.28008612,353.1362411,0.625178264,23.67010641,1.083792264,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.002536397,25.538904,1245.691783,14.6788,0.36554894,0.08907958,1.0,0.0,0.29563848,0.17483442,0.18699856,34200.0,5532.0,336.0,0.427176293,14.5637618,323.7088169,0.252506688,24.09099171,1.200274391,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.582713597,16.05125267,1045.662667,7.0618,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.014257154,5.724678154,314.2337989,0.074848417,11.68440905,0.738534733,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.566595667,9.866462367,937.0348333,5.771466667,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.012107218,5.417983088,263.5673467,0.05514905,10.07062372,1.056372294,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.561904553,12.38912073,909.8659333,5.181133333,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.03681923,7.144711965,322.4330688,0.272273315,10.78509708,0.755436517,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.581000563,8.1709499,738.7113,2.924,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.011636218,6.771088368,137.4815139,0.134061249,8.170426195,0.989514936,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.560111797,10.49042763,838.9897333,4.366766667,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.013902137,5.3083453,313.8060655,0.119559763,10.40645464,0.481510922,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.579619103,17.127633,937.3687,6.4788,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.013448246,3.458899917,184.7199288,0.126620696,14.95248094,0.444017869,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.5878277,16.52129547,902.7594667,5.622766667,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.057609941,5.118203283,275.6585871,0.403167929,10.60537309,0.527397007,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.55418442,15.61499463,1003.880267,9.529933333,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.040190284,5.103785087,310.3716345,0.328817273,14.99397179,1.027522854,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.563119583,19.07770347,1131.657267,16.24206667,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.038645167,11.09843554,326.5573369,0.158933873,18.89868445,1.124151873,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.76269176,29.61805943,1096.833767,10.3821,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.365294768,3.713320871,135.6899941,0.672930773,16.18142676,0.725685026,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.412432847,25.4128092,1225.674367,22.36256667,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.247735357,5.211464088,376.66684,0.503889596,16.88965369,0.784263864,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.17037154,36.2503946,1352.019633,21.5686,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.408391002,4.255585258,171.8920194,0.665279392,17.06214175,1.230653043,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.628716867,31.05419967,1356.1481,16.4616,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.613387441,5.133188961,380.1019084,0.393356024,16.10071593,1.031488454,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.459079037,32.06000167,1525.8888,23.7099,0.406232,0.103726,1.0,0.0,0.180018,0.189402,0.213289,34200.0,5532.0,336.0,0.310673941,4.382116197,358.4393194,0.306853835,18.3351701,0.869128262,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.38721082,35.88676927,1283.039233,6.9931,0.40710722,0.10281196,1.0,0.0,0.17969292,0.18614598,0.21360424,34200.0,5532.0,336.0,0.415755991,12.48231388,304.4449835,0.419939915,15.79063636,1.248908508,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.56876338,13.08216703,1107.7697,10.21166667,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.034478351,5.664513341,274.2635344,0.235885547,16.49282866,1.043381584,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.571114713,6.637755333,713.1481333,1.605066667,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.014572299,7.541801542,187.3346523,0.329989638,5.706322521,0.923301409,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
